Название фильма и краткое описание,URL
"
Антон Чехов
Год: 2016
Страна: Франция
Жанр: биография, история, драма
Длительность: 96 мин.
КиноПоиск: 5.7
IMDb: 6.2

Сюжет картины повествует о трагической судьбе известного российского писателя и драматурга Антона Павловича Чехова. В 1890 году мужчина ведет скромное существование в загородном поместье вместе с родным братом. Он пишет короткие рассказы на...

",https://filmshd.club/3704-anton-chehov.html
"
#ВСЕ_ИСПРАВИТЬ!?!
Год: 2016
Страна: Россия
Жанр: драма, музыка, комедия
Длительность: 94 мин.
КиноПоиск: 3.6

Пятеро неудачливых начинающих музыкантов российской эстрады имеют огромные амбиции, но видят свое будущее в тумане. Их пиар-менеджер советует им посетить званую вечеринку «Звезды», что как раз намеревался показать общественности свой новый роскошный...

",https://filmshd.club/3703-vse_ispravit.html
"
Путешествие из Парижа
Год: 2016
Страна: Франция
Жанр: драма, комедия
Длительность: 83 мин.
КиноПоиск: 5.2
IMDb: 5.4

Под одной крышей скромного парижского особняка проживает шесть совершенно непохожих людей. Преподаватель философии Морис Гилби является негласным главой семейства, испытывающий кризис в профессиональной сфере. Вторая по старшинству безусловно его...

",https://filmshd.club/3702-puteshestvie-iz-parizha.html
"
Доминика
Год: 2018
Страна: Россия
Жанр: фэнтези, комедия
Длительность: 81 мин.
КиноПоиск: 5.2
IMDb: 6.8

Архитектор Константин принадлежит к тому вымирающему виду мужчин, которых женщины обычно награждают эпитетом ""порядочные"". У него хорошая работа в крупной строительной фирме, которая приносит ему и деньги, и моральное удовлетворение. Он умудряется...

",https://filmshd.club/1613-dominika.html
"
Тронутые
Год: 2016
Страна: США
Жанр: драма, комедия
Длительность: 101 мин.
КиноПоиск: 7.1
IMDb: 7.1

Страдающий от синдрома Туретта трудный подросток Винсент тяжело перенес смерть матери, и совсем утратил контроль над болезнью. Его отец – состоятельный бизнесмен Роберт откровенно стыдился психически нездорового парня, решив скрыть его от общества....

",https://filmshd.club/3700-tronutye.html
"
Смотри мою любовь
Год: 2019
Страна: Россия
Жанр: драма, спорт
Длительность: 85 мин.

Когда Саша был малышом, его родители внезапно попали в автомобильную аварию. Опытные хирурги отчаянно боролись за жизни искалеченных пациентов, но, к сожалению, медицина оказалась бессильна, и вскоре мужчина и женщина скончались. Родственники не...

",https://filmshd.club/3667-smotri-moju-ljubov.html
"
Лайф
Год: 2016
Страна: Великобритания, Германия, Канада, Австралия, США
Жанр: драма, биография
Длительность: 111 мин.
КиноПоиск: 6
IMDb: 6.1

Фотограф от Бога Деннис Сток уже 10 лет работает на нью-йоркское агентство Magnum Photos, но так и не преуспел на данном поприще. Его коллеги уже давно имеют достойное портфолио и не раз организовывали собственные выставки работ, чем обеспечили себе...

",https://filmshd.club/3699-lajf.html
"
Друзья
Год: 2016
Страна: Франция
Жанр: драма, мелодрама, комедия
Длительность: 98 мин.
КиноПоиск: 6.7
IMDb: 6

Действие происходит в романтическом Париже. Застенчивый холостяк Клеман с залысиной на голове ведет крепкую дружбу с удалым красавцем Абелем. Первый не пользуется успехом у противоположного пола, так как странная манера поведения и мизерная зарплата...

",https://filmshd.club/3698-druzja.html
"
Белки в деле
Год: 2016
Страна: США
Жанр: мультфильм, комедия, семейный
Длительность: 87 мин.
КиноПоиск: 3.7
IMDb: 4

Удалой самец белки Фрэнки целый год пробыл в зоопарке, но наконец ему удалось перехитрить охрану и совершить дерзкий побег на волю. По пути он издевательски дразнит голодного ястреба, чем наживает себе серьезного врага. Вернувшись в родной лес,...

",https://filmshd.club/3697-belki-v-dele.html
"
Уроки выживания
Год: 2016
Страна: Россия
Жанр: комедия, семейный, приключения
Длительность: 83 мин.
КиноПоиск: 4.8
IMDb: 5.6

В прошлом удалой летчик крупных пассажирских лайнеров Евгений Аистов живет на тропическом курорте, где занимается перевозками туристов на небольшом одномоторном самолете. Это занятие не то, о чем он мечтал всю жизнь, но заработанных денег всегда...

",https://filmshd.club/3695-uroki-vyzhivanija.html
"
Экстрасенсы
Год: 2016
Страна: США
Жанр: триллер, драма, криминал, детектив
Длительность: 101 мин.
КиноПоиск: 6.6
IMDb: 6.4

Два детектива ФБР Кэтрин Коулс и Джо Мерриузер идут по следу неуловимого серийного убийцы, оставившего вереницу из нескольких трупов. Психопат всегда убивает своих жертв одним хирургически точным ударом острой иглы в область затылка. Следственный...

",https://filmshd.club/3694-jekstrasensy.html
"
Бизнесмены
Год: 2019
Страна: Казахстан
Жанр: драма, криминал
Длительность: 89 мин.
IMDb: 8.3

Распад огромной могучей империи, произошедший в 90-ых годах прошлого столетия, когда от монолитного Советского Союза начали отделяться независимые государства, породил абсолютное беззаконие и всплеск бандитизма. Многочисленные государственные...

",https://filmshd.club/3461-biznesmeny.html
"
Хеллбой
Год: 2019
Страна: США
Жанр: фэнтези, боевик, приключения
Длительность: 109 мин.
КиноПоиск: 6.2
IMDb: 5.6

Маленький демон из преисподней, случайно появившийся в результате оккультного эксперимента немецких захватчиков во время второй мировой войны, был воспитан американским профессором Тревором и получил имя Хеллбой, давно вырос. Он уже неоднократно...

",https://filmshd.club/3178-hellboy.html
"
Она смеется
Год: 2018
Страна: Италия
Жанр: драма
Длительность: 96 мин.
IMDb: 6.3

Новоиспеченная вдова Каролина и ее несовершеннолетний сын Бруно сидят за обеденным столом и не могут связать пары слов. Глава семейства Мауро погиб на заводе, оставив родных людей на произвол суровой судьбы. Казалось он еще присутствовал в доме и в...

",https://filmshd.club/3693-ona-smeetsja.html
"
Мёрси Блэк
Год: 2019
Жанр: ужасы, триллер, детектив
Длительность: 88 мин.
IMDb: 5.1

Марина Хэсс была обыкновенной школьницей с кучей преданных подруг и заоблачными жизненными амбициями, но в определенный момент что-то пошло не так. Девочка поддалась негативному влиянию злобного духа Мерси Блэк, овладевшего ее разумом. Дух заставлял...

",https://filmshd.club/3692-mersi-bljek.html
"
Пегас
Год: 2019
Страна: Китай
Жанр: комедия, спорт
Длительность: 100 мин.
IMDb: 6.4

Впервые Чжан Чи узрел ралли по купленному родителями цветному телевизору и не сумел оторвать глаз от завораживающего зрелища. В 1999 году проходило международное соревнование в Пекине. Юноша незаметно покинул дом, чтобы воочию увидеть скоростной...

",https://filmshd.club/3690-pegas.html
"
Маникарника: Королева Джханси
Год: 2019
Страна: Индия
Жанр: драма, история, биография, военный, боевик
Длительность: 141 мин.
IMDb: 6.8

В середине 19 столетия вся территория Индии находится под полным контролем Соединенного Королевства и не имеет своих прав на внешнюю и даже внутреннюю политику. Жители многонациональной страны угнетены и вынуждены платить узурпатором неподъемную...

",https://filmshd.club/3689-manikarnika-koroleva-dzhhansi.html
"
Высшее общество
Год: 2019
Страна: Великобритания, Франция, Германия, Польша
Жанр: фантастика, триллер
Длительность: 96 мин.
КиноПоиск: 6.2
IMDb: 6.7

Наша планета истощена, природные ресурсы скоро иссякнут и теперь будущее человечества зависит от межгалактического космического корабля, на борту которого находится небольшая группа людей. Вскоре им предстоит выполнить сложнейшую миссию -...

",https://filmshd.club/2870-vysshee-obschestvo.html
"
Домовой
Год: 2019
Страна: Россия
Жанр: семейный, фэнтези, комедия
Длительность: 99 мин.
КиноПоиск: 6.5

Очаровательная молодая мама решила сменить место жительства, и вскоре вместе с восьмилетней дочерью по имени Алина заселилась в небольшую уютную квартирку, которая показалась ей подарком судьбы. Счастливые новоселы даже не задумались, по какой...

",https://filmshd.club/3186-domovoy.html
"
Круты. 1918
Год: 2019
Страна: Украина
Жанр: боевик, история, военный
Длительность: 110 мин.
КиноПоиск: 5.9
IMDb: 6.6

1918 год. Российская империя раскололась на несколько независимых государств и теперь переживает период затяжной и кровопролитной гражданской войны. Дружественный Киев провозгласил свою независимость, что стало настоящей неожиданностью для...

",https://filmshd.club/3688-kruty-1918.html
"
В погоне за Бонни и Клайдом
Год: 2019
Страна: США
Жанр: триллер, драма, криминал, детектив
Длительность: 132 мин.
КиноПоиск: 6.8
IMDb: 7.1

1934 год. Америка объята великой депрессией. Фермеры голодают, рабочие не получают зарплату, а преступный мир переживает свой рассвет. Страну заполонили десятки тысяч вооруженных бандитов, что вопреки сухому закону и агрессивных действий полиции по...

",https://filmshd.club/3687-v-pogone-za-bonni-i-klajdom.html
"
Миа и белый лев
Год: 2019
Страна: Франция, Германия, ЮАР
Жанр: драма, приключения, семейный
Длительность: 88 мин.
КиноПоиск: 7.3
IMDb: 6.6

Родители 11-летней Мии занимаются изучением животных, особенно вымирающих видов, поэтому они принимают решение переехать из Англии в Южную Африку. Скромная, необщительная девочка никак не может привыкнуть к непривычной, пугающей обстановке и...

",https://filmshd.club/2689-mia-i-belyj-lev.html
"
Охотник на оленей
Год: 2019
Страна: США, Великобритания
Жанр: драма, военный
Длительность: 184 мин.
КиноПоиск: 8
IMDb: 8.1

Трое молодых американцев живут в небольшом промышленном городке под названием Клэртон штата Пенсильвания, единственной достопримечательностью которого является сталелитейный завод. Несмотря на тайную любовь одного из приятелей к девушке другого, в...

",https://filmshd.club/3675-ohotnik-na-olenej.html
"
Призраки Шэрон Тейт
Год: 2019
Страна: США
Жанр: ужасы, триллер, драма
Длительность: 91 мин.
IMDb: 3.2

Кинолента, основанная на реальных событиях, помогает взглянуть на последние дни двадцатишестилетней голливудской актрисы Шэрон Тейт ее глазами. Сюжет основывается на словах самой главной героини – в одном из многочисленных интервью, опубликованном...

",https://filmshd.club/3668-prizraki-shjeron-tejt.html
"
Кловерфилд, 10
Год: 2016
Страна: США
Жанр: ужасы, фантастика, триллер, драма, детектив
Длительность: 104 мин.
КиноПоиск: 6.9
IMDb: 7.2

Мишель сильно поругалась бойфрендом и в расстроенных чувствах мчалась в ночи на автомобиле по пустой дороге. Внезапно в нее врезалась другая машина и спровоцировала аварию. Главная героиня очнулась в неизвестном месте, прикованная наручниками к...

",https://filmshd.club/3665-kloverfild-10.html
"
Человек, который удивил всех
Год: 2018
Страна: Россия, Эстония, Франция
Жанр: драма
Длительность: 104 мин.
КиноПоиск: 6.9
IMDb: 6.5

Всю жизнь Егор прожил в небольшой деревне, изредка выбираясь в город по срочным и не терпящим отлагательства делам, и с удовольствием возвращаясь в родной дом. Он достиг возраста, когда воспринимаешь окружающий мир с позиции прожитых лет, и осознал,...

",https://filmshd.club/2452-chelovek-kotori-udivil-vseh.html
"
Колония Дигнидад
Год: 2016
Страна: Германия, Франция, Люксембург, Великобритания, США
Жанр: триллер, драма, мелодрама
Длительность: 110 мин.
КиноПоиск: 7.3
IMDb: 7.1

В 1973 году немецкая супружеская пара – фотограф Даниэль и стюардесса Лена оказываются втянутыми в чилийский государственный переворот, когда сторонников свергнутого президента Сальвадора Альенде окружают военные под командованием генерала Аугусто...

",https://filmshd.club/3664-kolonija-dignidad.html
"
Герой
Год: 2016
Страна: Россия
Жанр: драма, военный
Длительность: 80 мин.
КиноПоиск: 5.6
IMDb: 5

Автомеханик Андрей Петрович Куликов получил от коллекционера раритетных машин ответственное задание, поехать в Париж и договориться о покупке редкого экземпляра первого русского автомобиля Руссо-Балт у княгини Елизаветы Ивановной Езерской. Заказчик...

",https://filmshd.club/3663-geroj.html
"
Миссия в Майами
Год: 2015
Страна: США
Жанр: боевик, комедия
Длительность: 102 мин.
КиноПоиск: 6.1
IMDb: 5.9

Детектив полиции Атланты Джеймс вместе с напарником Мэйфилдом проникли на закрытую встречу автомобилистов, что была прикрытием для разыскиваемого торговца наркотиками Троя. Новичок Бен, недавно окончивший полицейскую академию, остался сидеть в...

",https://filmshd.club/3662-missija-v-majami.html
"
Ограбление по Фрейду
Год: 2019
Страна: Венгрия
Жанр: мультфильм, боевик, триллер, драма, криминал
Длительность: 94 мин.
IMDb: 7.8

Знаменитый талантливый психотерапевт с многолетним стажем, Рубен Брант лечит закоренелых преступников и с легкостью справляется с любыми их проблемами, но, после недавней смерти отца, сам мучается от ночных кошмаров. Во снах его постоянно преследуют...

",https://filmshd.club/3332-ograblenie-po-freydu.html
